team,WP,OWP,OOWP,RPI,win_prob_vs_GT
UAB,0.3877551020408163,0.5242323239170268,0.5278543558146844,0.4910185264223886,0.8774560146057145
Florida,0.75,0.6818991428045068,0.5780241677772618,0.672955613346569,0.0979070111817138
North Florida,0.7636363636363637,0.5152341860864262,0.5130904354015755,0.5767987928026979,0.4983482989818137
Clemson,0.7647058823529411,0.5948161396973609,0.5712147658543334,0.6313882319004991,0.22035907003245728
Texas Tech,0.7777777777777778,0.5563020019669077,0.5608080722171314,0.6127974634821811,0.3024819357332738
Marshall,0.5833333333333334,0.5233659125589691,0.5344046071078453,0.5411174413897792,0.6931711100975209
Long Beach St.,0.6190476190476191,0.4736297545689595,0.4962560928995732,0.5156408052712778,0.8024389102284439
Pacific,0.32,0.49279985344286914,0.5061930365146345,0.4529481858500932,0.9450678940559267
Baylor,0.4791666666666667,0.5793093834361507,0.5617972851286148,0.5498956796668957,0.6485929861072811
Abilene Christian,0.27450980392156865,0.5533717372458826,0.5239200105793536,0.47629332224817184,0.9095059267260119
South Fla.,0.7446808510638298,0.5396632226930874,0.5273943756270072,0.587850418019253,0.43509826270480717
LMU (CA),0.4375,0.5629999345128546,0.5213639039996163,0.5212159432563314,0.7812961226700549
Southern U.,0.4888888888888889,0.3782939798406896,0.44134562342920425,0.42170561799986805,0.9724695338302787
Arkansas,0.7708333333333334,0.6423253335006368,0.5846826673685177,0.6600416669257811,0.1274890374237788
Texas St.,0.6136363636363636,0.5624311423319932,0.5283517473503627,0.5667125989126782,0.5561709805111337
Arizona St.,0.6744186046511628,0.5535711424117766,0.5541754099489904,0.5839340748559265,0.4573779983698366
Maryland,0.3829787234042553,0.5706544563255402,0.5271040773708219,0.5128479283565394,0.8124358814614422
Southern Ind.,0.41025641025641024,0.47357321462712487,0.4649747764012619,0.4555944039779805,0.9418175254362136
Saint Louis,0.5882352941176471,0.4567103804330957,0.4706322930673589,0.49307208701279936,0.872280190822177
Villanova,0.5294117647058824,0.5330811406213045,0.5098017184012292,0.5263439410874301,0.7604519794432362
Utah St.,0.5102040816326531,0.5346367372634178,0.5172905241063842,0.5241920200664681,0.7693614074479753
Indiana St.,0.40425531914893614,0.4880609187201903,0.4810921706302124,0.4653673318048823,0.9281889782411273
Cal St. Fullerton,0.74,0.5050661098890723,0.5119904165180222,0.5655306590740417,0.5628782370254114
UConn,0.6530612244897959,0.531554503914058,0.5108505769138791,0.5567552023079478,0.6118069202142561
Houston Christian,0.3541666666666667,0.48938636204133207,0.4782386256208621,0.45279450409254823,0.9452513126512699
Houston,0.40540540540540543,0.5503724623552982,0.5460280167285861,0.513044586711147,0.8117448766531294
Iowa St.,0.5686274509803921,0.5432088615656672,0.5441793323068392,0.5498061266046415,0.6490628213605308
Nicholls,0.56,0.47651674267248034,0.4905327158141437,0.5008915502897762,0.8508422185246941
Alabama St.,0.36363636363636365,0.4683233846783846,0.46684536322185255,0.44178212405374634,0.9569861540086199
North Ala.,0.5714285714285714,0.5251955546961409,0.5146257720850996,0.5341113632264882,0.7263749418339002
Jacksonville St.,0.6363636363636364,0.4992847701226494,0.521062821422822,0.5389989995079393,0.7034467905427153
Auburn,0.5686274509803921,0.6348357851354387,0.5866510148175393,0.6062375090172022,0.3352669794387589
Southern Ill.,0.6458333333333334,0.5140938934913116,0.5136970214560839,0.5469295354430102,0.6639971553586818
UNI,0.6444444444444445,0.46884324817373496,0.48751801812980156,0.517412239730429,0.7958927890819683
North Dakota,0.48,0.45226408946727215,0.4944319456434399,0.46974003114449603,0.9211817115900044
Omaha,0.7906976744186046,0.4885934178914928,0.5133428393612954,0.5703068373907214,0.5356583535481967
Lamar University,0.5185185185185185,0.5016339658976329,0.4943409481200447,0.5040318496084573,0.8414309699123412
ULM,0.6470588235294118,0.49033666025714345,0.5122301172449175,0.534990565322154,0.7223328973261002
UTSA,0.37735849056603776,0.5129516776627171,0.507063574529302,0.4775813551051935,0.9070350963026348
Weber St.,0.48,0.4589811663013077,0.5010340183759716,0.47474908774464675,0.9123901666184464
UTEP,0.4,0.5139243872156489,0.5158942677383074,0.4859357605424013,0.8894948712953316
Kansas City,0.1111111111111111,0.49137372531306667,0.4996285670932879,0.3983717822076331,0.9837267725680998
App State,0.48936170212765956,0.526403888808109,0.508530714542411,0.5126750485715721,0.8130417220741909
North Carolina,0.7333333333333333,0.5445729074317543,0.5513791250972732,0.5934645683235288,0.40363293000736605
Bethune-Cookman,0.44,0.4664070343985179,0.4715500511545161,0.461091029987888,0.9344817195186467
Kentucky,0.5185185185185185,0.613532656453753,0.5777716062330543,0.5808388594147696,0.47511238432629144
Pittsburgh,0.38,0.575392881262819,0.5510782857277122,0.5204660120633375,0.7842323798988597
Notre Dame,0.4423076923076923,0.5715894092673655,0.5525724854210584,0.5345147490658704,0.7245249745218041
East Carolina,0.56,0.527873772504572,0.5209902755774842,0.534184455146657,0.7260403100633865
Providence,0.4375,0.5095569116967157,0.4920124992058645,0.487156580649824,0.8867013911660243
Evansville,0.3469387755102041,0.4642336436531044,0.4732109663818345,0.4371542572995618,0.9611651209783744
Stonehill,0.30612244897959184,0.4202938672281886,0.4458033142617033,0.3981283744244181,0.9838162516183638
Tennessee Tech,0.37735849056603776,0.4622605878004175,0.46767364158799557,0.4423883269387171,0.9564078986611756
Colorado St.,0.3409090909090909,0.49968812577824157,0.5158625750022563,0.4640369793669576,0.9302041729107243
UC Santa Barbara,0.5106382978723404,0.46317617844610226,0.5062930392955624,0.4858209235150268,0.8897545140492326
Liberty,0.7962962962962963,0.5292792683802681,0.5358130616956126,0.5976669736881113,0.3805735646103897
Radford,0.5294117647058824,0.5483617481357753,0.504240084898256,0.5325938364689222,0.7332646867579813
Louisville,0.52,0.5954326852036633,0.5562403424561447,0.5667764282158678,0.5558081568606223
UC Riverside,0.44680851063829785,0.47724285818318324,0.49336520292291125,0.4736648574818939,0.914365315963186
Utah Tech,0.2978723404255319,0.4977264097603287,0.4966661651923969,0.4474978312846466,0.9512308036168313
Stony Brook,0.5208333333333334,0.4748216511250045,0.4720106267117368,0.4856218155737698,0.8902034239538775
UIC,0.16,0.4551457343371493,0.4880270269298063,0.38957962390102624,0.9866694126500039
James Madison,0.5102040816326531,0.5216141615886991,0.5270403732808171,0.5201181945227171,0.7855844786359207
Illinois,0.4583333333333333,0.5406413799483164,0.5292226344186662,0.5172096819121581,0.7966494092100529
Lipscomb,0.49019607843137253,0.5180224869044491,0.5008019696699718,0.5067607554775606,0.8328662366078854
Bradley,0.46,0.47899851313197567,0.49256041507317583,0.4776393603342818,0.9069224123553534
Seattle U,0.5531914893617021,0.48813801466214185,0.5082476734570248,0.5094287980357527,0.8241389034482198
Utah,0.26,0.6122184024983941,0.5428620809664197,0.5068247214908019,0.8326611122113798
Minnesota,0.4,0.5766071465331329,0.5521249672275544,0.5263348150734551,0.7604902564024664
Tennessee St.,0.5,0.46491667501093487,0.47057970890965606,0.47510326473288145,0.9117360877518954
